TimeUT	Orb	M	t	p	S
2017-05-17T15:49:45	6	29.999524349346206	80.69649920164359	344.55220717052293	2.2
2017-05-17T15:49:46	6	29.99901634435572	80.69705077771467	344.5422949514325	2.2
2017-05-17T15:49:47	6	29.99849437276036	80.69743643668524	344.5323318723853	2.2
2017-05-17T15:49:48	6	29.997987330971856	80.69798790467735	344.5224195697317	2.2
2017-05-17T15:49:49	6	29.997480160210472	80.69853554804483	344.51252667668007	2.2
2017-05-17T15:49:50	6	29.997014288167264	80.6990065763868	344.5026261993015	2.2
2017-05-17T15:49:51	6	29.99645427078074	80.69947236402243	344.4926509487257	2.2
2017-05-17T15:49:52	6	29.99594849503718	80.70001982259456	344.4827579545895	2.2
2017-05-17T15:49:53	6	29.99548417751164	80.70049068237016	344.4728573583012	2.2
2017-05-17T15:49:54	6	29.994896335507374	80.69333079646823	344.46235870736984	2.196
2017-05-17T15:49:55	6	29.994398602926086	80.69388167100226	344.45244533867094	2.196
2017-05-17T15:49:56	6	29.993941305503547	80.6943522356849	344.44254382822635	2.196
2017-05-17T15:49:57	6	29.993443903109192	80.69489924221374	344.4326498476618	2.196
2017-05-17T15:49:58	6	29.99289241411374	80.69536075038725	344.42269272565613	2.196
2017-05-17T15:49:59	6	29.9923959338683	80.69590764252366	344.4127986760912	2.196
2017-05-17T15:50:00	6	29.99194068219424	80.6963780023796	344.4028970371889	2.196
2017-05-17T15:50:01	6	29.99139078847102	80.69683936062525	344.39293970294034	2.196
2017-05-17T15:50:02	6	29.9908957203818	80.69738607232183	344.3830455670808	2.196
2017-05-17T15:50:03	6	29.99038782958624	80.69777087427346	344.37308048889724	2.196
2017-05-17T15:50:04	6	29.98989374772865	80.69831746403652	344.3631862813669	2.196
2017-05-17T15:50:05	6	29.98937441921721	80.69124104622914	344.3527456516259	2.192
2017-05-17T15:50:06	6	29.98887306563568	80.69162557014806	344.3427796067819	2.192
2017-05-17T15:50:07	6	29.988386433633863	80.69217184026357	344.3328844703305	2.192
2017-05-17T15:50:08	6	29.98784568175573	80.69263269173743	344.3229258371628	2.192
2017-05-17T15:50:09	6	29.98740064153183	80.6931024556087	344.3130230631755	2.192
2017-05-17T15:50:10	6	29.98691543241929	80.69364855902037	344.3031278542049	2.192
2017-05-17T15:50:11	6	29.98637629071538	80.69410926457925	344.2931690250441	2.192
2017-05-17T15:50:12	6	29.98593223732121	80.69457512165383	344.2832855675105	2.192
2017-05-17T15:50:13	6	29.98539420965635	80.69503572904762	344.2733265927328	2.192
2017-05-17T15:50:14	6	29.98491093574557	80.69558159375158	344.2634312657107	2.192
2017-05-17T15:50:15	6	29.98441434326281	80.69596198648964	344.25348393985934	2.192
2017-05-17T15:50:16	6	29.98390722535612	80.68888363692992	344.24303853546235	2.188
2017-05-17T15:50:17	6	29.98337672703473	80.68934388868915	344.2330784898675	2.188
2017-05-17T15:50:18	6	29.9829412851724	80.68980931190782	344.2231940258041	2.188
2017-05-17T15:50:19	6	29.982411904242632	80.69026947850674	344.21323384215395	2.188
2017-05-17T15:50:20	6	29.98193694901683	80.69081111997494	344.2033569030991	2.188
2017-05-17T15:50:21	6	29.98144930260763	80.69119488749276	344.1933889889861	2.188
2017-05-17T15:50:22	6	29.980975352908093	80.69173642065354	344.183511994669	2.188
2017-05-17T15:50:23	6	29.98044816680148	80.69219639606614	344.1735515460406	2.188
2017-05-17T15:50:24	6	29.979975171106744	80.69273780819556	344.1636745045528	2.188
2017-05-17T15:50:25	6	29.97948930877813	80.69311765521654	344.153725697614	2.188
2017-05-17T15:50:26	6	29.9790179435412	80.69366269432977	344.1438292106272	2.188
2017-05-17T15:50:27	6	29.97846781711836	80.68649347912455	344.1333343186307	2.184
2017-05-17T15:50:28	6	29.978043141656723	80.68695827712952	344.12344874949963	2.184
2017-05-17T15:50:29	6	29.977524602160617	80.68741781285993	344.1134871242032	2.184
2017-05-17T15:50:30	6	29.977060520240304	80.68795875315791	344.10360909932217	2.184
2017-05-17T15:50:31	6	29.97658298005909	80.68833822847425	344.0936591358691	2.184
2017-05-17T15:50:32	6	29.976065495166942	80.68879389019268	344.0837166933576	2.184
2017-05-17T15:50:33	6	29.975603589258903	80.68933841619966	344.07381919573623	2.184
2017-05-17T15:50:34	6	29.97512790200515	80.68971777382514	344.06386900739824	2.184
2017-05-17T15:50:35	6	29.9746121264606	80.6901732957026	344.053926359383	2.184
2017-05-17T15:50:36	6	29.974151112306888	80.69071390916922	344.0440481685716	2.184
2017-05-17T15:50:37	6	29.97367728464148	80.69109314029609	344.0340977581706	2.184
2017-05-17T15:50:38	6	29.97319204939412	80.68400730509788	344.0236624851672	2.18
2017-05-17T15:50:39	6	29.97268375397676	80.68446248456074	344.0137188144486	2.18
2017-05-17T15:50:40	6	29.972216436528136	80.68484147266734	344.00376745729767	2.18
2017-05-17T15:50:41	6	29.97176388622473	80.68538168664519	343.9938883155187	2.18
2017-05-17T15:50:42	6	29.97125730768654	80.68583674247395	343.9839444507668	2.18
2017-05-17T15:50:43	6	29.97079185383494	80.68621562164934	343.9739928828575	2.18
2017-05-17T15:50:44	6	29.9702864778082	80.68667059716454	343.9640488613841	2.18
